,2010,2000,2000 - 2010 Change
American Indian and Alaska native alone,26843,18348,8495
Asian alone,349088,219813,129275
Black or African American alone,1377689,1224612,153077
Female,6512016,6351391,160625
Male,6190363,5929663,260700
Native Hawaiian and Other Pacific native alone,3653,3417,236
Persons 0 to 4 years,729538,727804,1734
Persons 18 to 64 years,7950917,7439668,511249
Persons 5 to 17 years,2062617,2194417,131800
Persons 65 years and over,1959307,1919165,40142
Persons Not of Hispanic or Latino Origin,11982719,11886966,95753
Persons of Hispanic or Latino Origin,719660,394088,325572
Some other race alone,300983,188437,112546
Total Population,12702379,12281054,421325
Two or more races,237835,142224,95611
White alone,10406288,10484203,77915
